gamma,L,entanglement entropy,,L,fit,,L log(L),entanglement entropy,,L log(L),fit
0.1J,4,2.30798998,,2,-14.3150159,,5.54517744,2.30798998,,1.38629436,-7.47994904
,6,5.60528398,,4,-6.09838402,,10.75055682,5.60528398,,5.54517744,-2.74976613
,8,10.10692353,,6,2.11824786,,16.63553233,10.10692353,,10.75055682,3.17066878
,10,15.71951218,,8,10.33487973,,23.02585093,15.71951218,,16.63553233,9.86405498
,12,22.33121596,,10,18.55151161,,29.81887980,22.33121596,,23.02585093,17.13220252
,14,29.89287326,,12,26.76814349,,36.94680261,29.89287326,,29.81887980,24.85838007
,16,38.33874964,,14,34.98477537,,44.36141956,38.33874964,,36.94680261,32.96545547
,18,47.63068096,,16,43.20140725,,52.02669164,47.63068096,,44.36141956,41.39860775
,20,57.59734272,,18,51.41803913,,59.91464547,57.59734272,,52.02669164,50.11684732
,22,68.31582887,,20,59.63467101,,68.00293397,68.31582887,,59.91464547,59.08835811
,24,79.6906199,,22,67.85130289,,76.27329193,79.69061990,,68.00293397,68.28772326
,26,91.58007478,,24,76.06793477,,84.71050999,91.58007478,,76.27329193,77.69416848
,,,,26,84.28456665,,,,,84.71050999,87.29039514
,,,,28,92.50119853,,,,,93.30172628,97.06177456
,,,,,,,,,,,
0.2J,4,2.19951488,,2,-9.38992551,,,,,,
,6,5.16593314,,4,-3.12697586,,,,,,
,8,9.07106408,,6,3.13597379,,,,,,
,10,13.79110065,,8,9.39892343,,,,,,
,12,19.14683752,,10,15.66187308,,,,,,
,14,25.14678996,,12,21.92482273,,,,,,
,16,31.62935445,,14,28.18777238,,,,,,
,18,38.55485622,,16,34.45072203,,,,,,
,20,45.87074729,,18,40.71367167,,,,,,
,22,53.5577173,,20,46.97662132,,,,,,
,24,61.64366284,,22,53.23957097,,,,,,
,26,70.05338811,,24,59.50252062,,,,,,
,,,,26,65.76547027,,,,,,
,,,,28,72.02841991,,,,,,
,,,,,,,,,,,
0.5J,4,1.83596368,,2,-3.6535269,,5.54517744,1.83596368,,1.38629436,-0.68815665
,6,3.97584799,,4,-0.19776459,,10.75055682,3.97584799,,5.54517744,1.29206145
,8,6.53757039,,6,3.25799773,,16.63553233,6.53757039,,10.75055682,3.77056018
,10,9.43264499,,8,6.71376004,,23.02585093,9.43264499,,16.63553233,6.57264304
,12,12.60258811,,10,10.16952235,,29.81887980,12.60258811,,23.02585093,9.61534086
,14,15.97136936,,12,13.62528466,,36.94680261,15.97136936,,29.81887980,12.84978589
,16,19.53294488,,14,17.08104697,,44.36141956,19.53294488,,36.94680261,16.24368792
,18,23.22650456,,16,20.53680928,,52.02669164,23.22650456,,44.36141956,19.77409701
,20,27.05027845,,18,23.99257159,,59.91464547,27.05027845,,52.02669164,23.42385349
,22,31.03719793,,20,27.4483339,,68.00293397,31.03719793,,59.91464547,27.17963806
,24,35.11956511,,22,30.90409621,,76.27329193,35.11956511,,68.00293397,31.03081034
,26,39.38466201,,24,34.35985852,,84.71050999,39.38466201,,76.27329193,34.96867350
,,,,26,37.81562083,,,,,84.71050999,38.98598573
,,,,28,41.27138314,,,,,93.30172628,43.07662296
,,,,,,,,,,,
1.0J,4,1.26205697,,2,-1.29682349,,,,,,
,6,2.49856534,,4,0.47225908,,,,,,
,8,3.92402761,,6,2.24134164,,,,,,
,10,5.49955771,,8,4.01042421,,,,,,
,12,7.15958224,,10,5.77950677,,,,,,
,14,8.89869572,,12,7.54858934,,,,,,
,16,10.70270083,,14,9.3176719,,,,,,
,18,12.58204839,,16,11.08675446,,,,,,
,20,14.49291149,,18,12.85583703,,,,,,
,22,16.45104541,,20,14.62491959,,,,,,
,24,18.45450007,,22,16.39400216,,,,,,
,26,20.5008664,,24,18.16308472,,,,,,
,,,,26,19.93216729,,,,,,
,,,,28,21.70124985,,,,,,
,,,,,,,,,,,
2.0J,4,0.56626831,,2,-0.12778566,,,,,,
,6,1.02591846,,4,0.42903875,,,,,,
,8,1.53080303,,6,0.98586317,,,,,,
,10,2.04159446,,8,1.54268758,,,,,,
,12,2.58745927,,10,2.09951199,,,,,,
,14,3.15180734,,12,2.65633641,,,,,,
,16,3.69803943,,14,3.21316082,,,,,,
,18,4.2855542,,16,3.76998523,,,,,,
,20,4.85788135,,18,4.32680965,,,,,,
,22,5.46689924,,20,4.88363406,,,,,,
,24,6.0568943,,22,5.44045847,,,,,,
,26,6.62975694,,24,5.99728289,,,,,,
,,,,26,6.5541073,,,,,,
,,,,28,7.11093171,,,,,,
,,,,,,,,,,,
3.0J,4,0.26638726,,2,0.09687266,,,,,,
,6,0.44649151,,4,0.27356527,,,,,,
,8,0.62890105,,6,0.45025788,,,,,,
,10,0.80412752,,8,0.62695049,,,,,,
,12,0.98546082,,10,0.8036431,,,,,,
,14,1.15773593,,12,0.98033571,,,,,,
,16,1.34138002,,14,1.15702832,,,,,,
,18,1.50875346,,16,1.33372093,,,,,,
,20,1.69160357,,18,1.51041354,,,,,,
,22,1.87032963,,20,1.68710615,,,,,,
,24,2.03735239,,22,1.86379876,,,,,,
,26,2.20597237,,24,2.04049137,,,,,,
,,,,26,2.21718398,,,,,,
,,,,28,2.39387659,,,,,,
