gamma,L,logarithmic fermionic negativity,,L,fit
0.1J,4,2.87989812,,2,-18.52556041
,6,6.95968944,,4,-8.08330871
,8,12.57296922,,6,2.35894298
,10,19.59001064,,8,12.80119468
,12,27.89898089,,10,23.24344638
,14,37.44278654,,12,33.68569808
,16,48.12941709,,14,44.12794977
,18,59.97383878,,16,54.57020147
,20,72.70297271,,18,65.01245317
,22,86.46749539,,20,75.45470487
,24,101.10848157,,22,85.89695656
,26,116.46236708,,24,96.33920826
,,,,26,106.78145996
,,,,28,117.22371166
,,,,,
0.2J,4,2.74758158,,2,-12.80207138
,6,6.45933776,,4,-4.60796514
,8,11.40074286,,6,3.58614111
,10,17.42055187,,8,11.78024735
,12,24.31619374,,10,19.97435359
,14,32.09169445,,12,28.16845983
,16,40.56463666,,14,36.36256607
,18,49.67109040,,16,44.55667231
,20,59.35796568,,18,52.75077855
,22,69.55239581,,20,60.94488479
,24,80.34004179,,22,69.13899103
,26,91.59319764,,24,77.33309727
,,,,26,85.52720351
,,,,28,93.72130975
,,,,,
0.5J,4,2.34391883,,2,-5.46950035
,6,5.14198763,,4,-0.70958128
,8,8.55320826,,6,4.05033778
,10,12.46189928,,8,8.81025685
,12,16.78269337,,10,13.57017591
,14,21.41415043,,12,18.33009498
,16,26.32951529,,14,23.09001404
,18,31.45861226,,16,27.84993310
,20,36.77249288,,18,32.60985217
,22,42.33078705,,20,37.36977123
,24,48.04794308,,22,42.12969030
,26,54.00247450,,24,46.88960936
,,,,26,51.64952843
,,,,28,56.40944749
,,,,,
1.0J,4,1.71689907,,2,-2.02800238
,6,3.45801749,,4,0.52029357
,8,5.48917644,,6,3.06858952
,10,7.73975271,,8,5.61688547
,12,10.12452851,,10,8.16518142
,14,12.62352524,,12,10.71347737
,16,15.23073884,,14,13.26177332
,18,17.93876102,,16,15.81006927
,20,20.70965854,,18,18.35836522
,22,23.54113848,,20,20.90666117
,24,26.44496864,,22,23.45495712
,26,29.41389058,,24,26.00325307
,,,,26,28.55154902
,,,,28,31.09984497
,,,,,
2.0J,4,0.90071328,,2,-0.18302593
,6,1.64138630,,4,0.69967888
,8,2.44875992,,6,1.58238369
,10,3.26628563,,8,2.46508851
,12,4.12958542,,10,3.34779332
,14,5.01874188,,12,4.23049813
,16,5.89427450,,14,5.11320295
,18,6.81423294,,16,5.99590776
,20,7.71821514,,18,6.87861257
,22,8.68673515,,20,7.76131739
,24,9.60706239,,22,8.64402220
,26,10.52867168,,24,9.52672701
,,,,26,10.40943183
,,,,28,11.29213664
,,,,,
3.0J,4,0.49307486,,2,0.18609691
,6,0.83092593,,4,0.51151230
,8,1.16573312,,6,0.83692770
,10,1.49155647,,8,1.16234309
,12,1.82344666,,10,1.48775848
,14,2.14524578,,12,1.81317388
,16,2.47637102,,14,2.13858927
,18,2.79163508,,16,2.46400466
,20,3.11979189,,18,2.78942006
,22,3.44776860,,20,3.11483545
,24,3.75515620,,22,3.44025084
,26,4.07485797,,24,3.76566624
,,,,26,4.09108163
,,,,28,4.41649702
