gamma,L,logarithmic fermionic negativity,,L,fit,,L log(L),logarithmic fermionic negativity,,L log(L),fit
0.1J,4,3.11038224,,2,-8.90765053,,5.54517744,3.11038224,,1.38629436,-4.65194054
,6,7.22180489,,4,-0.75214702,,10.75055682,7.22180489,,5.54517744,0.59525834
,8,13.16467588,,6,7.40335648,,16.63553233,13.16467588,,10.75055682,7.16280551
,10,20.8172315,,8,15.55885999,,23.02585093,20.8172315,,16.63553233,14.58778869
,12,29.86600861,,10,23.7143635,,29.8188798,29.86600861,,23.02585093,22.65035547
,14,40.03380218,,12,31.86986701,,36.94680261,40.03380218,,29.8188798,31.22101562
,16,51.78663921,,14,40.02537052,,44.36141956,51.78663921,,36.94680261,40.21420631
,,,,16,48.18087403,,,,,44.36141956,49.56911458
,,,,18,56.33637754,,,,,52.02669164,59.24027059
,,,,,,,,,,,
0.2J,4,3.30186586,,2,-5.49191882,,,,,,
,6,7.67460117,,4,1.27138012,,,,,,
,8,13.49702976,,6,8.03467906,,,,,,
,10,20.25999507,,8,14.79797799,,,,,,
,12,27.58505068,,10,21.56127693,,,,,,
,14,35.29203868,,12,28.32457586,,,,,,
,16,43.31835729,,14,35.0878748,,,,,,
,,,,16,41.85117374,,,,,,
,,,,18,48.61447267,,,,,,
,,,,,,,,,,,
0.4J,4,3.52142441,,2,-1.04988068,,,,,,
,6,7.43666743,,4,3.28033516,,,,,,
,8,11.78534001,,6,7.61055101,,,,,,
,10,16.22783171,,8,11.94076686,,,,,,
,12,20.6503094,,10,16.2709827,,,,,,
,14,25.00723545,,12,20.60119855,,,,,,
,16,29.26807051,,14,24.9314144,,,,,,
,,,,16,29.26163025,,,,,,
,,,,18,33.59184609,,,,,,
,,,,,,,,,,,
0.5J,4,3.51631545,,2,-0.15302978,,,,,,
,6,7.06326662,,4,3.50392975,,,,,,
,8,10.80389895,,6,7.16088927,,,,,,
,10,14.54532632,,8,10.8178488,,,,,,
,12,18.23332069,,10,14.47480832,,,,,,
,14,21.84366613,,12,18.13176785,,,,,,
,16,25.3178641,,14,21.78872737,,,,,,
,,,,16,25.4456869,,,,,,
,,,,18,29.10264642,,,,,,
