gamma,L,mutual information,,L,fit,,L log(L),mutual information,,L log(L),fit
0.1J,4,7.02863325,,4,-5.78191315,,5.54517744,7.02863325,,5.54517744,-0.69282507
,6,16.07666683,,6,13.70255306,,10.75055682,16.07666683,,10.75055682,14.20271079
,8,28.84798547,,8,33.18701927,,16.63553233,28.84798547,,16.63553233,31.04295577
,10,44.99606711,,10,52.67148548,,23.02585093,44.99606711,,23.02585093,49.32927325
,12,63.75925137,,12,72.15595169,,29.81887980,63.75925137,,29.81887980,68.76797269
,14,84.86813364,,14,91.64041791,,36.94680261,84.86813364,,36.94680261,89.16499322
,16,109.00890446,,16,111.12488412,,44.36141956,109.00890446,,44.36141956,110.38240786
,18,134.05309080,,18,130.60935033,,52.02669164,134.05309080,,52.02669164,132.31708871
,20,160.76483232,,20,150.09381654,,59.91464547,160.76483232,,59.91464547,154.88898803
,,,,22,169.57828275,,,,,68.00293397,178.03415821
,,,,,,,,,,,
0.2J,4,7.25864180,,4,1.31545774,,,,,,
,6,16.43795177,,6,16.01775788,,,,,,
,8,28.32116052,,8,30.72005802,,,,,,
,10,41.97954269,,10,45.42235815,,,,,,
,12,56.83804646,,12,60.12465829,,,,,,
,14,72.64231126,,14,74.82695843,,,,,,
,16,89.14309876,,16,89.52925857,,,,,,
,18,105.82489981,,18,104.23155870,,,,,,
,20,122.67627156,,20,118.93385884,,,,,,
,,,,22,133.63615898,,,,,,
,,,,,,,,,,,
0.4J,4,7.37507992,,4,6.62801159,,,,,,
,6,15.10546533,,6,15.38009258,,,,,,
,8,23.65270956,,8,24.13217357,,,,,,
,10,32.55155227,,10,32.88425456,,,,,,
,12,41.54540018,,12,41.63633554,,,,,,
,14,50.49825387,,14,50.38841653,,,,,,
,16,59.31301534,,16,59.14049752,,,,,,
,18,68.06791197,,18,67.89257851,,,,,,
,20,76.61763147,,20,76.64465950,,,,,,
,,,,22,85.39674048,,,,,,
,,,,,,,,,,,
0.5J,4,7.21715114,,4,7.06848994,,,,,,
,6,14.09747783,,6,14.35767703,,,,,,
,8,21.43925897,,8,21.64686413,,,,,,
,10,28.93910616,,10,28.93605123,,,,,,
,12,36.41426444,,12,36.22523832,,,,,,
,14,43.78701589,,14,43.51442542,,,,,,
,16,50.89650770,,16,50.80361251,,,,,,
,18,58.19559443,,18,58.09279961,,,,,,
,20,65.04076832,,20,65.38198670,,,,,,
,,,,22,72.67117380,,,,,,
