gamma,L,connected correlation weight,,L,fit,,L log(L),connected correlation weight,,L log(L),fit
0.1J,4,1.02911662,,4,-2.96296836,,5.55E+00,1.02911662,,5.55E+00,-1.11316845
,6,2.37974001,,6,0.59077887,,1.08E+01,2.37974001,,1.08E+01,1.36169951
,8,4.30812290,,8,4.14452610,,1.66E+01,4.30812290,,1.66E+01,4.15967759
,10,6.74880282,,10,7.69827333,,2.30E+01,6.74880282,,2.30E+01,7.19791816
,12,9.55725577,,12,11.25202056,,2.98E+01,9.55725577,,2.98E+01,10.42762502
,14,12.69635971,,14,14.80576779,,3.69E+01,12.69635971,,3.69E+01,13.81655531
,16,16.32810809,,16,18.35951502,,4.44E+01,16.32810809,,4.44E+01,17.34179269
,18,20.03576283,,18,21.91326224,,5.20E+01,20.03576283,,5.20E+01,20.98620262
,20,23.98842649,,20,25.46700947,,5.99E+01,23.98842649,,5.99E+01,24.73648532
,22,28.15136716,,22,29.02075670,,6.80E+01,28.15136716,,6.80E+01,28.58201601
,24,32.44886135,,24,32.57450393,,7.63E+01,32.44886135,,7.63E+01,32.51411057
,26,36.87194075,,26,36.12825116,,8.47E+01,36.87194075,,8.47E+01,36.52553782
,28,41.38551470,,28,39.68199839,,9.33E+01,41.38551470,,9.33E+01,40.61018266
,30,45.98006162,,30,43.23574562,,1.02E+02,45.98006162,,1.02E+02,44.76280598
,,,,32,46.78949285,,,,,1.11E+02,48.97886892
,,,,,,,,,,,
0.2J,4,1.08502193,,4,0.01425344,,,,,,
,6,2.48604650,,6,2.24455598,,,,,,
,8,4.27314138,,8,4.47485852,,,,,,
,10,6.28742232,,10,6.70516106,,,,,,
,12,8.44942524,,12,8.93546360,,,,,,
,14,10.72846608,,14,11.16576614,,,,,,
,16,13.08558702,,16,13.39606869,,,,,,
,18,15.43581580,,18,15.62637123,,,,,,
,20,17.78475629,,20,17.85667377,,,,,,
,22,20.12682077,,22,20.08697631,,,,,,
,24,22.44209548,,24,22.31727885,,,,,,
,26,24.73365103,,26,24.54758139,,,,,,
,28,26.99935359,,28,26.77788394,,,,,,
,30,29.23947596,,30,29.00818648,,,,,,
,,,,32,31.23848902,,,,,,
,,,,,,,,,,,
0.4J,4,1.12713919,,4,1.19367243,,,,,,
,6,2.26867153,,6,2.36872841,,,,,,
,8,3.47927041,,8,3.54378438,,,,,,
,10,4.71429983,,10,4.71884036,,,,,,
,12,5.94376517,,12,5.89389634,,,,,,
,14,7.15360017,,14,7.06895232,,,,,,
,16,8.33547010,,16,8.24400829,,,,,,
,18,9.50732227,,18,9.41906427,,,,,,
,20,10.65024245,,20,10.59412025,,,,,,
,22,11.83853480,,22,11.76917622,,,,,,
,24,12.97232133,,24,12.94423220,,,,,,
,26,14.09846636,,26,14.11928818,,,,,,
,28,15.21856571,,28,15.29434416,,,,,,
,30,16.33383862,,30,16.46940013,,,,,,
,,,,32,17.64445611,,,,,,
,,,,,,,,,,,
0.5J,4,1.10162916,,4,1.18202705,,,,,,
,6,2.09156362,,6,2.15651654,,,,,,
,8,3.10916750,,8,3.13100602,,,,,,
,10,4.13218754,,10,4.10549551,,,,,,
,12,5.13907474,,12,5.07998499,,,,,,
,14,6.12408971,,14,6.05447448,,,,,,
,16,7.07007184,,16,7.02896396,,,,,,
,18,8.04389016,,18,8.00345345,,,,,,
,20,8.95966218,,20,8.97794293,,,,,,
,22,10.01352363,,22,9.95243242,,,,,,
,24,10.95580461,,24,10.92692190,,,,,,
,26,11.89418915,,26,11.90141139,,,,,,
,28,12.82954219,,28,12.87590088,,,,,,
,30,13.76252586,,30,13.85039036,,,,,,
,,,,32,14.82487985,,,,,,
