L,gamma,"c(gamma, L)"
16,0.07,0.76496579
,0.08,0.74470723
,0.09,0.72063025
,0.1,0.69388841
,0.11,0.66533830
,0.12,0.63564851
,0.13,0.60535904
,0.14,0.57491395
,0.15,0.54467847
,0.16,0.51494990
,0.17,0.48596542
,0.18,0.45790902
,0.19,0.43091801
,0.2,0.40508940
,0.21,0.38048599
,0.22,0.35714210
,0.23,0.33506880
,0.24,0.31425858
,0.25,0.29468941
,0.3,0.21407183
,0.4,0.11894292
,0.5,0.07616112
,,
18,0.07,0.81142624
,0.08,0.78439233
,0.09,0.75394363
,0.1,0.72115385
,0.11,0.68686464
,0.12,0.65177247
,0.13,0.61646196
,0.14,0.58141891
,0.15,0.54703850
,0.16,0.51363220
,0.17,0.48143607
,0.18,0.45061995
,0.19,0.42129713
,0.2,0.39353373
,0.21,0.36735763
,0.22,0.34276630
,0.23,0.31973388
,0.24,0.29821699
,0.25,0.27815974
,0.3,0.19737698
,0.4,0.10609345
,0.5,0.06664761
,,
20,0.07,0.85876053
,0.08,0.82337883
,0.09,0.78535022
,0.1,0.74558177
,0.11,0.70487333
,0.12,0.66393286
,0.13,0.62336806
,0.14,0.58367902
,0.15,0.54525883
,0.16,0.50840018
,0.17,0.47330651
,0.18,0.44010525
,0.19,0.40886140
,0.2,0.37959027
,0.21,0.35226900
,0.22,0.32684630
,0.23,0.30325063
,0.24,0.28139692
,0.25,0.26119164
,0.3,0.18147242
,0.4,0.09480458
,0.5,0.05864802
,,
22,0.07,0.89846279
,0.08,0.85566561
,0.09,0.81061479
,0.1,0.76422510
,0.11,0.71738466
,0.12,0.67089088
,0.13,0.62541160
,0.14,0.58147098
,0.15,0.53945358
,0.16,0.49961904
,0.17,0.46212150
,0.18,0.42703008
,0.19,0.39434789
,0.2,0.36402887
,0.21,0.33599188
,0.22,0.31013195
,0.23,0.28632939
,0.24,0.26445651
,0.25,0.24438286
,0.3,0.16662843
,0.4,0.08494110
,0.5,0.05191592
,,
24,0.07,0.93204457
,0.08,0.88230717
,0.09,0.83046518
,0.1,0.77763510
,0.11,0.72489017
,0.12,0.67315300
,0.13,0.62315132
,0.14,0.57541581
,0.15,0.53029850
,0.16,0.48800222
,0.17,0.44861139
,0.18,0.41212086
,0.19,0.37846055
,0.2,0.34751578
,0.21,0.31914318
,0.22,0.29318287
,0.23,0.26946745
,0.24,0.24782868
,0.25,0.22810183
,0.3,0.15293374
,0.4,0.07632676
,0.5,0.04621838
,,
26,0.07,0.96174201
,0.08,0.90515402
,0.09,0.84646967
,0.1,0.78719541
,0.11,0.72865921
,0.12,0.67191528
,0.13,0.61772865
,0.14,0.56660334
,0.15,0.51882708
,0.16,0.47451886
,0.17,0.43367274
,0.18,0.39619503
,0.19,0.36193347
,0.2,0.33070015
,0.21,0.30228775
,0.22,0.27648208
,0.23,0.25307008
,0.24,0.23184587
,0.25,0.21261382
,0.3,0.14040549
,0.4,0.06879445
,0.5,0.04136220
,,
28,0.07,0.98893154
,0.08,0.92500084
,0.09,0.85916554
,0.1,0.79336698
,0.11,0.72916307
,0.12,0.66768838
,0.13,0.60969170
,0.14,0.55560385
,0.15,0.50561156
,0.16,0.45972380
,0.17,0.41782733
,0.18,0.37973010
,0.19,0.34519266
,0.2,0.31395237
,0.21,0.28573959
,0.22,0.26028828
,0.23,0.23734321
,0.24,0.21666479
,0.25,0.19803019
,0.3,0.12899326
,0.4,0.06219260
,0.5,0.03719374
,,
30,0.07,1.01504888
,0.08,0.94279827
,0.09,0.86928156
,0.1,0.79678869
,0.11,0.72700714
,0.12,0.66106205
,0.13,0.59961233
,0.14,0.54296192
,0.15,0.49115895
,0.16,0.44407840
,0.17,0.40148537
,0.18,0.36308162
,0.19,0.32853860
,0.2,0.29751958
,0.21,0.26969482
,0.22,0.24475009
,0.23,0.22239244
,0.24,0.20235216
,0.25,0.18438379
,0.3,0.11861812
,0.4,0.05638888
,0.5,0.03359199
