gamma,tJ,y-axis
0.1J,0.1,7.8184010955
,0.6,0.0285102252
,1.5,0.0170233273
,4,0.4930744896
,6.5,0.0043296315
,9,0.0026587484
,11.5,0.0097660161
,14,0.0010879470
,16.5,0.0032445770
,19,0.0000170030
,21.5,0.0000302282
,24,0.0000135949
,26.5,0.0000042492
,29,0.0000011690
,31.5,0.0000044742
,34,0.0000002105
,36.5,0.0000000515
,39,0.0000002719
,41.5,0.0000000161
,44,0.0000001244
,46.5,0.0000000462
,49,0.0000000138
,49.5,0.0000000164
,50,0.0000000048
,,
0.2J,0.1,7.7675774790
,0.6,0.0226734666
,1.5,0.0111652018
,4,0.1109805002
,6.5,0.0010598150
,9,0.0001146055
,11.5,0.0000399849
,14,0.0000013724
,16.5,0.0000023042
,19,0.0000005457
,21.5,0.0000007535
,24,0.0000004668
,26.5,0.0000001698
,29,0.0000001125
,31.5,0.0000001584
,34,0.0000001832
,36.5,0.0000001117
,39,0.0000000520
,41.5,0.0000000495
,44,0.0000000644
,46.5,0.0000000753
,49,0.0000000422
,49.5,0.0000000006
,50,0.0000000402
,,
0.5J,0.1,7.6167535709
,0.6,0.0136943101
,1.5,0.0050587245
,4,0.0006137933
,6.5,0.0000235399
,9,0.0001320090
,11.5,0.0000586283
,14,0.0000060203
,16.5,0.0000035943
,19,0.0000112537
,21.5,0.0000074138
,24,0.0000010708
,26.5,0.0000002720
,29,0.0000015225
,31.5,0.0000012850
,34,0.0000003103
,36.5,0.0000000053
,39,0.0000002002
,41.5,0.0000002494
,44,0.0000001049
,46.5,0.0000000050
,49,0.0000000157
,49.5,0.0000000596
,50,0.0000000018
