gamma,tJ,y-axis
0.1J,0.1,0.0024867094
,0.6,0.0132143713
,1.5,0.0383417862
,4,0.0764926196
,6.5,0.0725447827
,9,0.0478597715
,11.5,0.0282072834
,14,0.0147831057
,16.5,0.0070214164
,19,0.0032856070
,21.5,0.0013648952
,24,0.0006133744
,26.5,0.0002545048
,29,0.0001035710
,31.5,0.0000438733
,34,0.0000137680
,36.5,0.0000071186
,39,0.0000027725
,41.5,0.0000015666
,44,0.0000009539
,46.5,0.0000005151
,49,0.0000006325
,49.5,0.0000006320
,50,0.0000006386
,,
0.2J,0.1,0.0097176005
,0.6,0.0426150322
,1.5,0.0863516166
,4,0.0530049954
,6.5,0.0180933550
,9,0.0035497962
,11.5,0.0007331627
,14,0.0001878373
,16.5,0.0000284363
,19,0.0000138227
,21.5,0.0000056518
,24,0.0000038431
,26.5,0.0000030066
,29,0.0000022477
,31.5,0.0000017384
,34,0.0000013795
,36.5,0.0000011224
,39,0.0000009347
,41.5,0.0000008039
,44,0.0000007087
,46.5,0.0000006525
,49,0.0000006212
,49.5,0.0000006220
,50,0.0000006222
,,
0.5J,0.1,0.0566466383
,0.6,0.1396104126
,1.5,0.0945676630
,4,0.0054551514
,6.5,0.0018331290
,9,0.0009713171
,11.5,0.0005446681
,14,0.0003249448
,16.5,0.0001978421
,19,0.0001242040
,21.5,0.0000787362
,24,0.0000502354
,26.5,0.0000328868
,29,0.0000210983
,31.5,0.0000140127
,34,0.0000092162
,36.5,0.0000059865
,39,0.0000041480
,41.5,0.0000026156
,44,0.0000018331
,46.5,0.0000012461
,49,0.0000007503
,49.5,0.0000008141
,50,0.0000007023
