gamma,tJ,y-axis
0.1J,0,0.00000000
,0.5,5.95308652
,1,10.74942759
,3.5,18.73453823
,6,15.85346521
,8.5,15.51832261
,11,15.52381282
,13.5,16.18470380
,16,16.46197970
,18.5,15.98493269
,21,15.75130028
,23.5,16.03136105
,26,16.21711985
,28.5,16.11292944
,31,15.96740116
,33.5,15.98452016
,36,16.08624713
,38.5,16.10714585
,41,16.04669480
,43.5,16.01032855
,46,16.04109434
,48.5,16.07953810
,49.4,16.08084702
,49.9,16.07864444
,,
0.2J,0,0.00000000
,0.5,5.82643686
,1,10.24334165
,3.5,18.56326454
,6,16.87888465
,8.5,16.18311472
,11,16.13117178
,13.5,16.41637492
,16,16.59681523
,18.5,16.47199948
,21,16.35699469
,23.5,16.39843602
,26,16.46322502
,28.5,16.45924734
,31,16.42677874
,33.5,16.41962641
,36,16.43371748
,38.5,16.44169301
,41,16.43678595
,43.5,16.43095739
,46,16.43197518
,48.5,16.43548906
,49.4,16.43607705
,49.9,16.43617967
,,
0.5J,0,0.00000000
,0.5,5.46110739
,1,8.86693468
,3.5,14.52082381
,6,14.35507278
,8.5,14.08050323
,11,14.00806580
,13.5,14.04961054
,16,14.08390739
,18.5,14.08336894
,21,14.07598051
,23.5,14.07661193
,26,14.08089420
,28.5,14.08375853
,31,14.08529771
,33.5,14.08692886
,36,14.08899013
,38.5,14.09118831
,41,14.09337500
,43.5,14.09563126
,46,14.09805702
,48.5,14.10071640
,49.4,14.10174495
,49.9,14.10233606
