gamma,L,tJ,C
0.1J,12,0,0
,,10,9.82128006
,,20,9.82807356
,,30,9.50469087
,,40,9.51909105
,,50,9.59542049
,,60,9.58909793
,,,
0.1J,16,0,0
,,10,16.83853584
,,20,16.21668654
,,30,16.36022277
,,40,16.29689748
,,50,16.19918817
,,60,16.17923633
,,,
0.1J,20,0,0
,,10,25.14750319
,,20,23.73150264
,,30,24.00348803
,,40,23.97466815
,,50,23.99995215
,,60,23.98401427
,,,
0.5J,12,0,0
,,10,5.08645278
,,20,5.10827896
,,30,5.11460879
,,40,5.12950163
,,50,5.14864786
,,60,5.17406143
,,,
0.5J,16,0,0
,,10,16.83853584
,,20,16.21668654
,,30,16.36022277
,,40,16.29689748
,,50,16.19918817
,,60,16.17923633
,,,
0.5J,20,0,0
,,10,8.75066859
,,20,8.89450766
,,30,8.93250832
,,40,8.96677614
,,50,9.00892645
,,60,9.06617674
