gamma,L,tJ,C^SS
0.1J,12,0,0.00000000
,,10,0.23837535
,,20,0.00176723
,,30,0.00008258
,,40,0.00000190
,,50,0.00000202
,,60,0.00001317
,,,
0.1J,16,0,0.00000000
,,10,0.27250715
,,20,0.00586973
,,30,0.00009273
,,40,0.00000463
,,50,0.00000255
,,60,0.00000933
,,,
0.1J,20,0,0.00000000
,,10,0.41910826
,,20,0.00843796
,,30,0.00016302
,,40,0.00000830
,,50,0.00000791
,,60,0.00004125
,,,
0.5J,12,0,0.00000000
,,10,0.00261003
,,20,0.00061486
,,30,0.00006864
,,40,0.00002728
,,50,0.00000971
,,60,0.00000036
,,,
0.5J,16,0,0.00000000
,,10,0.00354605
,,20,0.00148296
,,30,0.00043339
,,40,0.00007949
,,50,0.00000823
,,60,0.00000184
,,,
0.5J,20,0,0.00000000
,,10,0.00473290
,,20,0.00200606
,,30,0.00074588
,,40,0.00021479
,,50,0.00004087
,,60,0.00000375
