gamma,L,tJ,C^SB
0.1J,12,0,0
,,10,1.6624566
,,20,0.6019755
,,30,0.14447857
,,40,0.07417807
,,50,0.06501929
,,60,0.03150694
,,,
0.1J,16,0,0
,,10,3.19033486
,,20,0.99218007
,,30,0.45093823
,,40,0.20303383
,,50,0.06851257
,,60,0.03036693
,,,
0.1J,20,0,0
,,10,5.34360642
,,20,1.3991483
,,30,0.68824641
,,40,0.32701882
,,50,0.18523665
,,60,0.09903334
,,,
0.5J,12,0,0
,,10,0.12213884
,,20,0.02140313
,,30,0.00883367
,,40,0.01009987
,,50,0.01272414
,,60,0.01678466
,,,
0.5J,16,0,0
,,10,0.18285994
,,20,0.03743107
,,30,0.01717046
,,40,0.01652385
,,50,0.01976023
,,60,0.02615677
,,,
0.5J,20,0,0
,,10,0.24758465
,,20,0.05024261
,,30,0.02396638
,,40,0.02242445
,,50,0.02642599
,,60,0.03506451
