gamma,L,tJ,C^BB
0.1J,12,0,0
,,10,6.2579915
,,20,8.62235533
,,30,9.21565116
,,40,9.37073302
,,50,9.46537989
,,60,9.52607088
,,,
0.1J,16,0,0
,,10,10.18535897
,,20,14.22645668
,,30,15.4582536
,,40,15.89082519
,,50,16.06216048
,,60,16.11849315
,,,
0.1J,20,0,0
,,10,14.04118209
,,20,20.92476808
,,30,22.62683219
,,40,23.32062221
,,50,23.62947095
,,60,23.78590634
,,,
0.5J,12,0,0
,,10,4.83956506
,,20,5.06485783
,,30,5.09687281
,,40,5.10927461
,,50,5.12318986
,,60,5.14049175
,,,
0.5J,16,0,0
,,10,6.5786574
,,20,6.95226985
,,30,7.01525249
,,40,7.04196266
,,50,7.06664621
,,60,7.09616051
,,,
0.5J,20,0,0
,,10,8.25076638
,,20,8.79201637
,,30,8.88382969
,,40,8.92171246
,,50,8.9560336
,,60,8.99604398
