N_init,tJ,y-axis
1,0,9
,1,0.25032129
,2,0.0149037
,3,0.02927608
,4,0.50995968
,5,0.15552388
,6,0.0594064
,7,0.21924511
,8,0.00907709
,9,0.01160865
,10,0.01212041
,11,0.07800536
,12,0.0132353
,13,0.00892146
,14,0.01125197
,15,0.01145365
,16,0.01115632
,17,0.00950047
,18,0.01144095
,19,0.00919745
,20,0.0097436
,21,0.00974741
,22,0.00982865
,23,0.0095792
,24,0.00982445
,25,0.00991922
,26,0.00967806
,27,0.00967638
,28,0.00983207
,29,0.00987127
,30,0.01001657
,31,0.01003919
,32,0.01006809
,33,0.01000746
,34,0.01001576
,35,0.00999053
,36,0.0100848
,37,0.00995916
,38,0.00987378
,39,0.00990767
,40,0.00997324
,41,0.00994524
,42,0.00992171
,43,0.0099028
,44,0.00993687
,45,0.00987244
,46,0.00992361
,47,0.00989893
,48,0.00994638
,49,0.00996708
,50,0.00996011
,,
64,0,9
,1,0.24969322
,2,0.01297921
,3,0.02165664
,4,0.4925193
,5,0.14590451
,6,0.04993253
,7,0.20266897
,8,0.00064636
,9,0.00240411
,10,0.00234816
,11,0.06035263
,12,0.00333773
,13,0.00025318
,14,0.00127682
,15,0.00127692
,16,0.00114887
,17,0.00024831
,18,0.00111193
,19,0.00015161
,20,0.00023392
,21,0.00023998
,22,0.00021407
,23,0.00018949
,24,0.00019367
,25,0.00022572
,26,0.00019895
,27,0.00020803
,28,0.00021922
,29,0.00021518
,30,0.00021835
,31,0.00021922
,32,0.00023065
,33,0.00023241
,34,0.00023082
,35,0.00023329
,36,0.00023484
,37,0.00023833
,38,0.00024391
,39,0.00024266
,40,0.00024726
,41,0.00024944
,42,0.00025099
,43,0.00025517
,44,0.0002516
,45,0.00025607
,46,0.00025729
,47,0.00025629
,48,0.00026202
,49,0.00025973
,50,0.00026379
,,
256,0,9
,1,0.24962477
,2,0.01298453
,3,0.02109735
,4,0.49215789
,5,0.14599167
,6,0.04979647
,7,0.20209499
,8,0.00059246
,9,0.00250024
,10,0.00218456
,11,0.06064918
,12,0.00350892
,13,0.00019329
,14,0.00098954
,15,0.00120682
,16,0.00112496
,17,0.0001092
,18,0.00091617
,19,0.000084
,20,0.00012973
,21,0.0000744
,22,0.00010376
,23,0.00008342
,24,0.00007106
,25,0.00008215
,26,0.0000807
,27,0.00007593
,28,0.0000733
,29,0.00007821
,30,0.0000805
,31,0.00007572
,32,0.00007853
,33,0.0000817
,34,0.00007848
,35,0.00007739
,36,0.00008022
,37,0.00007995
,38,0.00008077
,39,0.00007817
,40,0.00008068
,41,0.00008032
,42,0.00008009
,43,0.00008089
,44,0.00007863
,45,0.00008107
,46,0.00007996
,47,0.00007916
,48,0.00008093
,49,0.0000798
,50,0.00008021
