N_init,tJ,y-axis
1,1,6.16968474
,2,4.25824040
,3,2.84709509
,4,1.45022765
,5,1.19467069
,6,0.87705428
,7,0.43757360
,8,0.47277048
,9,0.34939512
,10,0.27094881
,11,0.14973862
,12,0.18383987
,13,0.16933322
,14,0.15207441
,15,0.14304069
,16,0.13828121
,17,0.13882114
,18,0.13563631
,19,0.13820452
,20,0.13754076
,21,0.13836326
,22,0.13842388
,23,0.13877664
,24,0.13982285
,25,0.14109533
,26,0.14254878
,27,0.14369387
,28,0.14545215
,29,0.14689097
,30,0.14799541
,31,0.14898990
,32,0.15012027
,33,0.15140764
,34,0.15240040
,35,0.15322521
,36,0.15327609
,37,0.15342314
,38,0.15362703
,39,0.15388716
,40,0.15414645
,41,0.15467655
,42,0.15522989
,43,0.15558929
,44,0.15557948
,45,0.15564468
,46,0.15559947
,47,0.15578302
,48,0.15585554
,49,0.15604904
,50,0.15630722
,,
64,1,6.15709997
,2,4.24482665
,3,2.82026210
,4,1.40843567
,5,1.12488957
,6,0.79844527
,7,0.36430629
,8,0.37546970
,9,0.24919658
,10,0.16663327
,11,0.05201667
,12,0.07138569
,13,0.05047923
,14,0.03350472
,15,0.02226705
,16,0.01515616
,17,0.01136036
,18,0.00754766
,19,0.00639389
,20,0.00487837
,21,0.00392087
,22,0.00342916
,23,0.00318597
,24,0.00292166
,25,0.00275924
,26,0.00267785
,27,0.00266040
,28,0.00263890
,29,0.00264041
,30,0.00265999
,31,0.00268130
,32,0.00269667
,33,0.00269961
,34,0.00272799
,35,0.00274227
,36,0.00274270
,37,0.00274381
,38,0.00274744
,39,0.00275590
,40,0.00275609
,41,0.00276539
,42,0.00276978
,43,0.00277430
,44,0.00278095
,45,0.00278454
,46,0.00278859
,47,0.00279384
,48,0.00279214
,49,0.00279724
,50,0.00279574
,,
256,1,6.15635398
,2,4.24402412
,3,2.81980371
,4,1.40804298
,5,1.12408601
,6,0.79808114
,7,0.36380242
,8,0.37526197
,9,0.24869034
,10,0.16646277
,11,0.05115102
,12,0.07060064
,13,0.04963299
,14,0.03251208
,15,0.02091912
,16,0.01367121
,17,0.00988132
,18,0.00594441
,19,0.00466505
,20,0.00316965
,21,0.00227762
,22,0.00167665
,23,0.00132540
,24,0.00104466
,25,0.00088323
,26,0.00077940
,27,0.00071335
,28,0.00067453
,29,0.00064946
,30,0.00062946
,31,0.00061678
,32,0.00061650
,33,0.00061400
,34,0.00061811
,35,0.00061930
,36,0.00061870
,37,0.00062322
,38,0.00062286
,39,0.00062712
,40,0.00062814
,41,0.00063187
,42,0.00063240
,43,0.00063299
,44,0.00063770
,45,0.00063797
,46,0.00064118
,47,0.00064437
,48,0.00064609
,49,0.00064974
,50,0.00065161
